,Time,CO*,EO*,OCCO**,OECO**,OEEO**,H*,CCH4,ECH4,EEH4,CCH6O,ECH6O,EEH6O,Ethylene,Ethanol,Iso_ethylene,Iso_ethanol,c_CO*,c_EO*,c_CO*+EO*,diff
0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.15,0.15,0.3,
1,0.1,5999.0,5994.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0,4.0,1.0,0.5,0.149975,0.14985,0.299825,0.5
2,0.2,6001.0,5999.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,4.0,4.0,0.875,0.5,0.150025,0.149975,0.3,0.375
3,0.30000000000000004,6000.0,5992.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,3.0,2.0,8.0,8.0,0.875,0.4375,0.15,0.1498,0.2998,0.4375
4,0.4,6004.0,5990.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,4.0,2.0,9.0,9.0,0.8888888888888888,0.4444444444444444,0.1501,0.14975,0.29985,0.4444444444444444
5,0.5,6002.0,5988.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,5.0,6.0,2.0,13.0,13.0,0.8461538461538461,0.38461538461538464,0.15005,0.1497,0.29975,0.4615384615384615
