,Time,CO*,EO*,OCCO**,OECO**,OEEO**,H*,CCH4,ECH4,EEH4,CCH6O,ECH6O,EEH6O,Ethylene,Ethanol,Iso_ethylene,Iso_ethanol,c_CO*,c_EO*,c_CO*+EO*,diff
0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.15,0.15,0.3,
1,0.1,5996.0,5998.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,0.8333333333333334,0.375,0.1499,0.14995,0.29985,0.45833333333333337
2,0.2,5998.0,5999.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,4.0,6.0,0.75,0.25,0.14995,0.149975,0.299925,0.5
3,0.30000000000000004,5999.0,6004.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,6.0,1.0,1.0,5.0,8.0,0.6,0.1875,0.149975,0.1501,0.300075,0.4125
4,0.4,5996.0,6002.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,10.0,1.0,1.0,8.0,12.0,0.6875,0.125,0.1499,0.15005,0.29995,0.5625
5,0.5,5994.0,5998.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,11.0,3.0,2.0,9.0,16.0,0.7222222222222222,0.21875,0.14985,0.14995,0.2998,0.5034722222222222
