,Time,CO*,EO*,OCCO**,OECO**,OEEO**,H*,CCH4,ECH4,EEH4,CCH6O,ECH6O,EEH6O,Ethylene,Ethanol,Iso_ethylene,Iso_ethanol,c_CO*,c_EO*,c_CO*+EO*,diff
0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.15,0.15,0.3,
1,0.1,6003.0,6002.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.150075,0.15005,0.300125,0.0
2,0.2,6000.0,6003.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,1.0,0.0,4.0,5.0,0.375,0.1,0.15,0.150075,0.300075,0.275
3,0.30000000000000004,5998.0,6001.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,5.0,2.0,0.0,7.0,7.0,0.6428571428571429,0.14285714285714285,0.14995,0.150025,0.299975,0.5
4,0.4,6001.0,6008.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,5.0,2.0,0.0,9.0,7.0,0.7222222222222222,0.14285714285714285,0.150025,0.1502,0.300225,0.5793650793650793
5,0.5,6005.0,6005.0,0.0,0.0,0.0,0.0,2.0,1.0,8.0,6.0,3.0,0.0,11.0,9.0,0.7727272727272727,0.16666666666666666,0.150125,0.150125,0.30025,0.6060606060606061
