,Time,CO*,EO*,OCCO**,OECO**,OEEO**,H*,CCH4,ECH4,EEH4,CCH6O,ECH6O,EEH6O,Ethylene,Ethanol,Iso_ethylene,Iso_ethanol,c_CO*,c_EO*,c_CO*+EO*,diff
0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.15,0.15,0.3,
1,0.1,5997.0,6002.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,4.0,1.0,0.125,0.149925,0.15005,0.299975,0.875
2,0.2,6001.0,6002.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,3.0,5.0,1.0,0.1,0.150025,0.15005,0.300075,0.9
3,0.30000000000000004,6000.0,6002.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,1.0,0.0,7.0,5.0,0.7857142857142857,0.1,0.15,0.15005,0.30005,0.6857142857142857
4,0.4,5996.0,5997.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,6.0,3.0,0.0,10.0,9.0,0.75,0.16666666666666666,0.1499,0.149925,0.299825,0.5833333333333334
5,0.5,5989.0,5995.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,9.0,3.0,1.0,13.0,13.0,0.6538461538461539,0.19230769230769232,0.149725,0.149875,0.2996,0.46153846153846156
