,0
0,0.4464285714285714
1,0.2857142857142857
2,0.46153846153846156
3,0.7386363636363636
4,0.33076923076923076
5,0.26495726495726496
6,0.5034722222222222
7,0.4615384615384615
8,0.4772727272727273
9,0.6060606060606061
