,Time,CO*,EO*,OCCO**,OECO**,OEEO**,H*,CCH4,ECH4,EEH4,CCH6O,ECH6O,EEH6O,Ethylene,Ethanol,Iso_ethylene,Iso_ethanol,c_CO*,c_EO*,c_CO*+EO*,diff
0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.15,0.15,0.3,
1,0.1,5992.0,5993.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,1.0,4.0,5.0,0.5,0.5,0.1498,0.149825,0.299625,0.0
2,0.2,5992.0,5989.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,2.0,3.0,2.0,7.0,7.0,0.6428571428571429,0.5,0.1498,0.149725,0.299525,0.1428571428571429
3,0.30000000000000004,5997.0,5994.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,2.0,3.0,2.0,7.0,7.0,0.6428571428571429,0.5,0.149925,0.14985,0.299775,0.1428571428571429
4,0.4,5994.0,5990.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,3.0,3.0,2.0,12.0,8.0,0.625,0.4375,0.14985,0.14975,0.2996,0.1875
5,0.5,5996.0,5990.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,4.0,3.0,2.0,13.0,9.0,0.6538461538461539,0.3888888888888889,0.1499,0.14975,0.29965,0.26495726495726496
