,Time,CO*,EO*,OCCO**,OECO**,OEEO**,H*,CCH4,ECH4,EEH4,CCH6O,ECH6O,EEH6O,Ethylene,Ethanol,Iso_ethylene,Iso_ethanol,c_CO*,c_EO*,c_CO*+EO*,diff
0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.15,0.15,0.3,
1,0.1,6001.0,6005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.150025,0.150125,0.30015,
2,0.2,6006.0,6007.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,0.5,0.16666666666666666,0.15015,0.150175,0.300325,0.33333333333333337
3,0.30000000000000004,6002.0,6007.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,2.0,0.0,4.0,7.0,0.75,0.14285714285714285,0.15005,0.150175,0.300225,0.6071428571428572
4,0.4,6002.0,6007.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,3.0,0.0,6.0,9.0,0.8333333333333334,0.16666666666666666,0.15005,0.150175,0.300225,0.6666666666666667
5,0.5,6006.0,6008.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,8.0,3.0,0.0,8.0,11.0,0.875,0.13636363636363635,0.15015,0.1502,0.30035,0.7386363636363636
