,Time,CO*,EO*,OCCO**,OECO**,OEEO**,H*,CCH4,ECH4,EEH4,CCH6O,ECH6O,EEH6O,Ethylene,Ethanol,Iso_ethylene,Iso_ethanol,c_CO*,c_EO*,c_CO*+EO*,diff
0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.15,0.15,0.3,
1,0.1,5998.0,5996.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,4.0,2.0,0.875,0.0,0.14995,0.1499,0.29985,0.875
2,0.2,5995.0,5999.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,1.0,5.0,6.0,0.9,0.16666666666666666,0.149875,0.149975,0.29985,0.7333333333333334
3,0.30000000000000004,5996.0,5992.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,1.0,1.0,9.0,8.0,0.8333333333333334,0.1875,0.1499,0.1498,0.2997,0.6458333333333334
4,0.4,5994.0,5990.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,7.0,1.0,2.0,12.0,10.0,0.75,0.25,0.14985,0.14975,0.2996,0.5
5,0.5,5996.0,5994.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,7.0,2.0,2.0,12.0,11.0,0.75,0.2727272727272727,0.1499,0.14985,0.29975,0.4772727272727273
