,Time,CO*,EO*,OCCO**,OECO**,OEEO**,H*,CCH4,ECH4,EEH4,CCH6O,ECH6O,EEH6O,Ethylene,Ethanol,Iso_ethylene,Iso_ethanol,c_CO*,c_EO*,c_CO*+EO*,diff
0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.15,0.15,0.3,
1,0.1,5994.0,6003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,5.0,,0.2,0.14985,0.150075,0.299925,
2,0.2,5986.0,6002.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,0.0,1.0,5.0,8.0,0.8,0.125,0.14965,0.15005,0.2997,0.675
3,0.30000000000000004,5987.0,6006.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,2.0,1.0,5.0,11.0,0.8,0.18181818181818182,0.149675,0.15015,0.299825,0.6181818181818182
4,0.4,5989.0,6006.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,8.0,3.0,1.0,7.0,12.0,0.7857142857142857,0.20833333333333334,0.149725,0.15015,0.299875,0.5773809523809523
5,0.5,5987.0,6005.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,8.0,3.0,2.0,10.0,13.0,0.6,0.2692307692307692,0.149675,0.150125,0.2998,0.33076923076923076
