,Time,CO*,EO*,OCCO**,OECO**,OEEO**,H*,CCH4,ECH4,EEH4,CCH6O,ECH6O,EEH6O,Ethylene,Ethanol,Iso_ethylene,Iso_ethanol,c_CO*,c_EO*,c_CO*+EO*,diff
0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.15,0.15,0.3,
1,0.1,5995.0,5998.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,0.5,0.0,0.149875,0.14995,0.299825,0.5
2,0.2,5995.0,6003.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,1.0,6.0,3.0,0.5,0.3333333333333333,0.149875,0.150075,0.29995,0.16666666666666669
3,0.30000000000000004,6000.0,6002.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,2.0,0.0,1.0,9.0,3.0,0.5555555555555556,0.3333333333333333,0.15,0.15005,0.30005,0.22222222222222227
4,0.4,5995.0,6009.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,5.0,0.0,1.0,11.0,6.0,0.5,0.16666666666666666,0.149875,0.150225,0.3001,0.33333333333333337
5,0.5,5996.0,6007.0,0.0,0.0,0.0,0.0,5.0,3.0,6.0,5.0,2.0,1.0,14.0,8.0,0.5357142857142857,0.25,0.1499,0.150175,0.300075,0.2857142857142857
