                                                         Overall                                                    OH_adsorption                                                    OH_desorption                                                     CO_oxidation
        6.1888624448717752E-05         6.4599773715811806E-05         4.4117183675106982E-05         8.3066443048231681E-05
                         29084                          14711                           8839                           5534
configuration                   38                31305         1.8500000000000010E+00
        5.9095432428769790E-05         6.1556921782379150E-05         4.2253534303826758E-05         8.0609953275260013E-05
                         31305                          15840                           9691                           5774
configuration                   39                33591         1.9000000000000010E+00
        5.6561471505268852E-05         5.8883218698214037E-05         4.0521580936611378E-05         7.8376212176236511E-05
                         33591                          16978                          10615                           5998
configuration                   40                35990         1.9500000000000011E+00
        5.4181580853197885E-05         5.6404847234249233E-05         3.8800634157337267E-05         7.6402895479158711E-05
                         35990                          18191                          11594                           6205
configuration                   41                38410         2.0000000000000009E+00
        5.2069075292080302E-05         5.4173740432518613E-05         3.7303191893777424E-05         7.4723907588496161E-05
                         38410                          19409                          12595                           6406
configuration                   42                40888         2.0500000000000007E+00
        5.0136928633696825E-05         5.2093072072118941E-05         3.6045470155156097E-05         7.2988658713831703E-05
                         40888                          20664                          13604                           6620
configuration                   43                43476         2.1000000000000005E+00
        4.8302427331880371E-05         5.0129179272185124E-05         3.4809558801557406E-05         7.1513694277796256E-05
                         43476                          21971                          14693                           6812
configuration                   44                46244         2.1500000000000004E+00
        4.6492343388158099E-05         4.8224468800957856E-05         3.3544222216111752E-05         7.0039857050620128E-05
                         46244                          23368                          15869                           7007
configuration                   45                49104         2.2000000000000002E+00
        4.4802650602118507E-05         4.6440630679993313E-05         3.2380626744200753E-05         6.8720549185155962E-05
                         49104                          24787                          17122                           7195
configuration                   46                51809         2.2500000000000000E+00
        4.3428369964718479E-05         4.4961867791326996E-05         3.1529122082602575E-05         6.7442189454912081E-05
                         51809                          26169                          18262                           7378
configuration                   47                54636         2.2999999999999998E+00
        4.2095600007199059E-05         4.3563245755555178E-05         3.0640569814685309E-05         6.6424449137057095E-05
                         54636                          27577                          19528                           7531
configuration                   48                57605         2.3499999999999996E+00
        4.0794946626898480E-05         4.2213650850677007E-05         2.9779567236194641E-05         6.5139811067342534E-05
                         57605                          29044                          20829                           7732
configuration                   49                60563         2.3999999999999995E+00
        3.9628144826808241E-05         4.0970757041362089E-05         2.9041077977177661E-05         6.4039839205356453E-05
                         60563                          30541                          22112                           7910
configuration                   50                63620         2.4499999999999993E+00
        3.8509790552913639E-05         3.9785491729013511E-05         2.8310626364101616E-05         6.2989252958447445E-05
                         63620                          32092                          23436                           8092
configuration                   51                66753         2.4999999999999991E+00
        3.7450575343357025E-05         3.8695553359351425E-05         2.7587692737023891E-05         6.2085069907415522E-05
                         66753                          33665                          24843                           8245
configuration                   52                69911         2.5499999999999989E+00
        3.6474840519280760E-05         3.7664459710584809E-05         2.6940611074903114E-05         6.1428509608814195E-05
                         69911                          35257                          26290                           8364
configuration                   53                73287         2.5999999999999988E+00
        3.5476837242781591E-05         3.6604081506283518E-05         2.6270415488234872E-05         6.0680956961338915E-05
                         73287                          36968                          27813                           8506
configuration                   54                76568         2.6499999999999986E+00
        3.4609493854404454E-05         3.5712422575395777E-05         2.5681624454546554E-05         6.0113736130765480E-05
                         76568                          38594                          29364                           8610
configuration                   55                79860         2.6999999999999984E+00
        3.3809131466002575E-05         3.4853327578148024E-05         2.5186011530539574E-05         5.9520134990035757E-05
