               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                  OH*                   OH                  CO2
                  20                16392         1.9000000000000006E+00         1.0404999999999999E+01        -3.1346999999998702E+03                   0                 2322                  174                    0
                  21                18217         2.0000000000000004E+00         1.0400000000000000E+01        -3.0631499999998750E+03                   0                 2269                  227                    0
                  22                20285         2.1000000000000005E+00         1.0395000000000000E+01        -3.0658499999998749E+03                   0                 2271                  225                    0
                  23                22507         2.2000000000000006E+00         1.0390000000000001E+01        -2.9686499999998814E+03                   0                 2199                  297                    0
                  24                24893         2.3000000000000007E+00         1.0385000000000000E+01        -2.9254499999998843E+03                   0                 2167                  329                    0
                  25                27531         2.4000000000000008E+00         1.0380000000000001E+01        -2.8417499999998900E+03                   0                 2105                  391                    0
                  26                30263         2.5000000000000009E+00         1.0375000000000000E+01        -2.6743499999999012E+03                   0                 1981                  515                    0
                  27                33187         2.6000000000000010E+00         1.0369999999999999E+01        -2.5933499999999067E+03                   0                 1921                  575                    0
                  28                36168         2.7000000000000011E+00         1.0365000000000000E+01        -2.5352999999999106E+03                   0                 1878                  618                    0
                  29                39228         2.8000000000000012E+00         1.0359999999999999E+01        -2.3894999999999204E+03                   0                 1770                  726                    0
                  30                42501         2.9000000000000012E+00         1.0355000000000000E+01        -2.2396499999999305E+03                   0                 1659                  837                    0
                  31                45890         3.0000000000000013E+00         1.0350000000000000E+01        -2.0870999999999408E+03                   0                 1546                  950                    0
                  32                49301         3.1000000000000014E+00         1.0345000000000001E+01        -1.9534499999999498E+03                   0                 1447                 1049                    0
                  33                52745         3.2000000000000015E+00         1.0340000000000000E+01        -1.7671499999999623E+03                   0                 1309                 1187                    0
                  34                56207         3.3000000000000016E+00         1.0334999999999999E+01        -1.5943499999999740E+03                   0                 1181                 1315                    0
                  35                59703         3.4000000000000017E+00         1.0330000000000000E+01        -1.4269499999999853E+03                   0                 1057                 1439                    0
                  36                63194         3.5000000000000018E+00         1.0324999999999999E+01        -1.2986999999999939E+03                   0                  962                 1534                    0
