                                                         Overall                                                    OH_adsorption                                                    OH_desorption                                                     CO_oxidation
        5.4041701443420193E-05         5.4243442470031584E-05         5.3849730086843024E-05         0.0000000000000000E+00
                         66615                          32481                          34134                              0
configuration                   38                69965         3.7000000000000020E+00
        5.2883208034562980E-05         5.3051207846606480E-05         5.2723338757355165E-05         0.0000000000000000E+00
                         69965                          34115                          35850                              0
configuration                   39                73045         3.8000000000000020E+00
        5.2021819409328247E-05         5.2186461590907957E-05         5.1865418127119305E-05         0.0000000000000000E+00
                         73045                          35585                          37460                              0
configuration                   40                75992         3.9000000000000021E+00
        5.1320781133080145E-05         5.1490060550079317E-05         5.1159997393702632E-05         0.0000000000000000E+00
                         75992                          37018                          38974                              0
configuration                   41                78857         4.0000000000000018E+00
        5.0724691145439224E-05         5.0885492072926715E-05         5.0571825651838525E-05         0.0000000000000000E+00
                         78857                          38431                          40426                              0
configuration                   42                81618         4.1000000000000014E+00
        5.0233902501107516E-05         5.0406034410297093E-05         5.0070342021482811E-05         0.0000000000000000E+00
                         81618                          39767                          41851                              0
configuration                   43                84115         4.2000000000000011E+00
        4.9931604245876432E-05         5.0045366958114258E-05         4.9823545623824836E-05         0.0000000000000000E+00
                         84115                          40976                          43139                              0
configuration                   44                86365         4.3000000000000007E+00
        4.9788478594420881E-05         4.9911880771523712E-05         4.9671209881441327E-05         0.0000000000000000E+00
                         86365                          42082                          44283                              0
configuration                   45                88482         4.4000000000000004E+00
        4.9726471226097698E-05         4.9857365230426761E-05         4.9602097255485055E-05         0.0000000000000000E+00
                         88482                          43111                          45371                              0
configuration                   46                90483         4.5000000000000000E+00
        4.9732662693967407E-05         4.9831045295528055E-05         4.9639151505119936E-05         0.0000000000000000E+00
                         90483                          44093                          46390                              0
configuration                   47                92365         4.5999999999999996E+00
        4.9801910124054584E-05         4.9882678775234812E-05         4.9725127794974997E-05         0.0000000000000000E+00
                         92365                          45014                          47351                              0
configuration                   48                93993         4.6999999999999993E+00
        5.0003711857960086E-05         5.0073207314794956E-05         4.9937630592621902E-05         0.0000000000000000E+00
                         93993                          45813                          48180                              0
